code, name
9, Escape
67, F1
68, F2
69, F3
70, F4
71, F5
72, F6
73, F7
74, F8
75, F9
76, F10
95, F11
96, F12
49, `
10, 1
11, 2
12, 3
13, 4
14, 5
15, 6
16, 7
17, 8
18, 9
19, 0
20, -
21, =
22, Backspace
23, Tab
66, CapsLock
50, Shift
36, Enter
37, Control
64, Alt
#, Meta
38, a
56, b
54, c
40, d
26, e
41, f
42, g
43, h
31, i
44, j
45, k
46, l
58, m
57, n
32, o
33, p
24, q
27, r
39, s
28, t
30, u
55, v
25, w
53, x
29, y
52, z
34, [
35, ]
47, ;
48, '
59, ","
60, .
61, /
51, \
111, ArrowUp
113, ArrowLeft
114, ArrowRight
116, ArrowDown
133, Super
65, " "
